delta,iter,V_PPI,lower_bound,upper_bound
0.0,0,21.558605142240836,20.229869771566456,22.887340512915216
0.0,1,21.67223331846521,20.347658335792477,22.996808301137943
0.0,2,21.530633653826584,20.213269737927195,22.847997569725973
0.0,3,21.7522092009408,20.430492379877457,23.073926022004144
0.0,4,21.720348699307717,20.386275405978694,23.05442199263674
0.0,5,21.76710223567285,20.455069585926207,23.079134885419496
0.0,6,21.7450220342348,20.416192409191837,23.073851659277764
0.0,7,21.661881956859563,20.337072157293527,22.9866917564256
0.0,8,21.507109605532314,20.17190177763533,22.842317433429297
0.0,9,21.611824235810133,20.287036144402585,22.93661232721768
0.01,0,22.40151459806995,20.429373326524285,24.373655869615618
0.01,1,22.755114095524515,20.79006392830666,24.72016426274237
0.01,2,22.56879453572119,20.59068140522414,24.54690766621824
0.01,3,22.54823724656698,20.578253521943505,24.518220971190456
0.01,4,22.464228100555545,20.49423307824041,24.43422312287068
0.01,5,22.342291013495345,20.361667709267486,24.322914317723203
0.01,6,22.649706921618147,20.676087653328736,24.62332618990756
0.01,7,22.355152913104256,20.385239820430954,24.325066005777558
0.01,8,22.55032535747953,20.56672681013342,24.533923904825638
0.01,9,22.28519126206031,20.31236806297656,24.258014461144057
0.02,0,24.01283850688815,20.26317134792565,27.762505665850654
0.02,1,23.987744323347023,20.253049466115506,27.72243918057854
0.02,2,24.001858352818807,20.264418199384806,27.73929850625281
0.02,3,24.1202622378721,20.37730279007672,27.863221685667483
0.02,4,24.100514004856073,20.348927100192505,27.852100909519642
0.02,5,24.11298107723943,20.368775581925796,27.85718657255306
0.02,6,24.088123163403758,20.347000738084343,27.829245588723172
0.02,7,23.969249228171257,20.222655579946277,27.715842876396238
0.02,8,24.05997534861332,20.310694171768915,27.809256525457727
0.02,9,24.06163970753292,20.315722734784877,27.80755668028096
0.03,0,19.85763171270537,14.620772367461312,25.094491057949426
0.03,1,19.921954146184717,14.670950545116774,25.17295774725266
0.03,2,19.68026634937757,14.423774265864374,24.936758432890763
0.03,3,19.723859240407002,14.472298381691141,24.975420099122864
0.03,4,19.791993831064246,14.53742391586686,25.046563746261633
0.03,5,19.90689802737372,14.651385692577934,25.16241036216951
0.03,6,19.7409659895513,14.485098460772758,24.99683351832984
0.03,7,19.850474716759244,14.601518977379028,25.09943045613946
0.03,8,19.788077780256916,14.526906130410996,25.049249430102837
0.03,9,19.87939902262439,14.625050708986613,25.133747336262168
0.04,0,33.927582536433796,12.510428669898051,55.344736402969545
0.04,1,33.96165787952474,12.553569159420544,55.36974659962894
0.04,2,34.00639273953791,12.599044434531102,55.413741044544714
0.04,3,33.84990715933639,12.432505275412243,55.26730904326054
0.04,4,33.91158839221095,12.488730342560928,55.334446441860976
0.04,5,33.920692323418734,12.504498854800755,55.33688579203671
0.04,6,34.21360245324566,12.806214872113127,55.620990034378195
0.04,7,34.17892684237431,12.76301662501091,55.59483705973771
0.04,8,34.05972412762499,12.64247505130594,55.47697320394404
0.04,9,33.9225572438653,12.512469450946185,55.33264503678441
0.05,0,16.39398814199132,5.276267806806521,27.511708477176114
0.05,1,16.65758469659536,5.542813583268794,27.772355809921926
0.05,2,16.713934659896427,5.589793013402128,27.838076306390725
0.05,3,16.66965928295817,5.543236523641692,27.796082042274644
0.05,4,16.678839628454355,5.5576356081259615,27.800043648782747
0.05,5,16.713409972032768,5.593118011077081,27.833701932988454
0.05,6,16.678016489039855,5.5660754234585585,27.789957554621154
0.05,7,16.638772816135226,5.523462258520448,27.754083373750007
0.05,8,16.87721089131506,5.741084477474459,28.01333730515566
0.05,9,16.723914919128653,5.610183958024965,27.83764588023234
0.06,0,106.75865322355298,-37.240220624775446,250.7575270718814
0.06,1,106.69954728373159,-37.31424692121354,250.71334148867672
0.06,2,106.75441923173946,-37.24840132199833,250.75723978547725
0.06,3,106.60178514393263,-37.39094875539217,250.59451904325743
0.06,4,106.5912943883493,-37.412359056038724,250.59494783273732
0.06,5,106.69713550145903,-37.293257186342316,250.68752818926038
0.06,6,106.86194188746643,-37.12944126438035,250.8533250393132
0.06,7,106.5867983372555,-37.40422447745557,250.5778211519666
0.06,8,106.73249901990057,-37.25899471802482,250.72399275782595
0.06,9,106.66766681532201,-37.33298043031306,250.66831406095707
0.07,0,66.83862391821151,-8.17253325591922,141.84978109234225
0.07,1,66.87869209731329,-8.13271741625077,141.89010161087737
0.07,2,66.87825625266893,-8.138660293750078,141.89517279908796
0.07,3,66.9081252993706,-8.097559630391913,141.9138102291331
0.07,4,66.91595377547043,-8.091882937825488,141.92379048876634
0.07,5,66.77206024533265,-8.23200944114717,141.77612993181248
0.07,6,66.81370573152692,-8.17849111030884,141.8059025733627
0.07,7,66.92171433090837,-8.079851780348093,141.92328044216484
0.07,8,66.8788937627561,-8.1305530838209,141.8883406093331
0.07,9,66.94032150166211,-8.072626311751165,141.95326931507537
0.08,0,5.596381241725162,0.26523567272809423,10.92752681072223
0.08,1,5.512478076984159,0.17430649100671314,10.850649662961604
0.08,2,5.7102462695292076,0.38496144448376945,11.035531094574646
0.08,3,5.51872613654519,0.1955293224780137,10.841922950612368
0.08,4,5.565266311190555,0.2341684070423451,10.896364215338766
0.08,5,5.734309819279105,0.40614267380340063,11.062476964754808
0.08,6,5.569258344276406,0.24544233217905198,10.89307435637376
0.08,7,5.553444489040537,0.21326115086118325,10.893627827219891
0.08,8,5.572135544594261,0.23936254167299786,10.904908547515523
0.08,9,5.843229166500166,0.5087722882597774,11.177686044740554
0.09,0,0.04597098024542845,-0.16789832322357198,0.2598402837144289
0.09,1,0.07626659088435872,-0.12760460145397132,0.2801377832226888
0.09,2,-0.04572469806907975,-0.2603677906875687,0.1689183945494092
0.09,3,-0.018863964142482814,-0.2175407265712075,0.17981279828624186
0.09,4,0.01794999908143069,-0.1892510081237247,0.22515100628658608
0.09,5,-0.10092111563153594,-0.30825657648765703,0.10641434522458518
0.09,6,0.14416842762265247,-0.060204995417612595,0.34854185066291754
0.09,7,0.06934791019317288,-0.13500444318144747,0.2737002635677932
0.09,8,0.0924499316357199,-0.11235259603089678,0.29725245930233657
0.09,9,0.01095665869353013,-0.19700997405450077,0.21892329144156103
