delta,iter,V_PPI,lower_bound,upper_bound
0.0,0,25.82044106273634,21.298561387573123,30.342320737899556
0.0,1,25.532561783783432,21.03898076048789,30.026142807078976
0.0,2,25.330970966249303,21.092789600969464,29.569152331529143
0.0,3,26.552374980788596,21.97008812833532,31.13466183324187
0.0,4,24.855138618569313,20.508835654507102,29.201441582631524
0.0,5,26.208692914097227,21.849347026465104,30.56803880172935
0.0,6,24.802781536566137,20.39224942555651,29.213313647575763
0.0,7,25.586176965461945,21.110805242391855,30.061548688532035
0.0,8,25.621016693838236,21.225419526616637,30.016613861059835
0.0,9,25.345880996894955,20.829152646290083,29.862609347499827
0.01,0,22.636510348863037,16.334404811068485,28.93861588665759
0.01,1,23.274763113941614,17.38324852800814,29.16627769987509
0.01,2,23.293245372960342,17.377577096926196,29.20891364899449
0.01,3,23.26417440155469,17.42052935822707,29.10781944488231
0.01,4,21.710501774569003,15.829312430574662,27.591691118563347
0.01,5,23.49217070729135,17.44101889771661,29.54332251686609
0.01,6,24.112133119762746,18.172981438248637,30.051284801276854
0.01,7,22.911718232761284,16.863197318404875,28.960239147117694
0.01,8,21.972676509532008,15.955776279886901,27.989576739177114
0.01,9,23.28396229598288,17.285463591884366,29.282461000081398
0.02,0,16.89631373967088,10.443974383903043,23.348653095438717
0.02,1,18.635329817517494,12.007559341440842,25.263100293594146
0.02,2,16.835841841921134,10.410891716806788,23.26079196703548
0.02,3,17.106743234782822,10.435677496505331,23.777808973060313
0.02,4,17.866973560153422,11.501879412931302,24.232067707375542
0.02,5,18.781564470215653,12.313394477054015,25.24973446337729
0.02,6,18.231277429628285,11.572535285306934,24.890019573949637
0.02,7,17.291220308073008,10.88650034681941,23.695940269326606
0.02,8,17.58700249245466,11.13052235213857,24.043482632770747
0.02,9,17.653509235637483,11.165503423555926,24.14151504771904
0.03,0,12.695803288883464,7.0606171633186126,18.330989414448318
0.03,1,12.048771887726126,6.504512713457753,17.5930310619945
0.03,2,11.637260525499567,6.230193306924511,17.04432774407462
0.03,3,11.505122148869376,6.054599385054493,16.955644912684257
0.03,4,11.02575835309349,5.465975005822885,16.585541700364097
0.03,5,11.634877910494271,6.0329964511683585,17.236759369820184
0.03,6,12.054316233354001,6.453159369698922,17.65547309700908
0.03,7,11.835154809266037,6.156689218145761,17.513620400386312
0.03,8,11.69312982543429,6.056402412108178,17.329857238760404
0.03,9,10.913891536251349,5.495604585760092,16.332178486742606
0.04,0,6.349218893917158,2.7671950400869982,9.931242747747318
0.04,1,5.685531825111614,2.157405451024021,9.213658199199207
0.04,2,6.441872241514407,3.004140281173598,9.879604201855216
0.04,3,6.568876696425839,2.827901207194375,10.309852185657302
0.04,4,6.465348631804197,2.80932273702553,10.121374526582864
0.04,5,6.876031912805178,3.27553970251528,10.476524123095077
0.04,6,7.011272299249985,3.549468380538149,10.47307621796182
0.04,7,6.17821192690478,2.7626527220365387,9.593771131773021
0.04,8,6.150033584894718,2.446704470440016,9.85336269934942
0.04,9,6.251672725777386,2.671227666418118,9.832117785136653
0.05,0,2.5634506242078885,0.7414586064955158,4.385442641920261
0.05,1,2.1022537791218596,0.33032626887114014,3.8741812893725793
0.05,2,3.458245695003356,1.65332958773497,5.263161802271742
0.05,3,2.605374073649493,0.6589233041499136,4.551824843149072
0.05,4,1.6744568149161623,-0.2562210547004746,3.605134684532799
0.05,5,2.363986162893191,0.5619040402901088,4.166068285496273
0.05,6,3.2969447827309892,1.3787404720404806,5.215149093421498
0.05,7,2.883790717788415,1.0470624551680665,4.720518980408763
0.05,8,2.9177312244101614,1.1260528251771702,4.709409623643152
0.05,9,1.2593126269602308,-0.5140335041221953,3.0326587580426567
0.06,0,0.38597379467579174,-0.6020995420329667,1.3740471313845501
0.06,1,0.6218084463281031,-0.38937278769753636,1.6329896803537425
0.06,2,-0.21370589217538338,-1.204469230995258,0.7770574466444912
0.06,3,0.45322406012337524,-0.6506317804899604,1.5570799007367109
0.06,4,0.022416467997842915,-0.9789960084304845,1.0238289444261703
0.06,5,0.4209093850559924,-0.5914829303390796,1.4333017004510644
0.06,6,-0.12587551071677439,-1.1009917285836748,0.8492407071501259
0.06,7,0.798364088104158,-0.3094450171412071,1.9061731933495232
0.06,8,0.419135204339284,-0.6600085916560126,1.4982790003345805
0.06,9,0.8725979496442946,-0.2959690216429516,2.041164920931541
0.07,0,0.012179824240647008,-0.8986511615301609,0.9230108100114549
0.07,1,-0.2032732169497251,-1.100566428092777,0.6940199941933267
0.07,2,0.5364647118066586,-0.3751742690409222,1.4481036926542394
0.07,3,-0.4151552913942922,-1.3175623974805977,0.4872518146920133
0.07,4,-0.3839905445398486,-1.3267328605799003,0.558751771500203
0.07,5,0.37356179348279284,-0.48342444581683774,1.2305480327824234
0.07,6,1.0480962499436401,0.20635476196107438,1.889837737926206
0.07,7,-0.014483846296997172,-0.9264552775374086,0.8974875849434143
0.07,8,0.09772083545649934,-0.8520166556466918,1.0474583265596906
0.07,9,0.0942392450892271,-0.8044899619407808,0.992968452119235
0.08,0,0.7027532329023103,-0.12278404178472457,1.5282905075893451
0.08,1,-0.04292651905702627,-0.8827214151496741,0.7968683770356215
0.08,2,0.07641405918627697,-0.7067784460899688,0.8596065644625227
0.08,3,0.11841924711573171,-0.7615768833197872,0.9984153775512506
0.08,4,0.07321491010906556,-0.7260158620484594,0.8724456822665905
0.08,5,0.24562018077360648,-0.5984839894216295,1.0897243509688423
0.08,6,-0.5249389884587927,-1.3960429717669682,0.3461649948493827
0.08,7,0.30992382004979646,-0.5066856599818441,1.126533300081437
0.08,8,-0.08587505504524273,-0.9376868271321379,0.7659367170416524
0.08,9,-0.4481618685091959,-1.2681532638198063,0.37182952680141435
0.09,0,0.07721557387744582,-0.6852274230561047,0.8396585708109964
0.09,1,-0.3672777927784594,-1.1336193253744526,0.39906373981753374
0.09,2,0.5688936066018897,-0.23504361418157538,1.372830827385355
0.09,3,0.19289253379089644,-0.5726316881495987,0.9584167557313916
0.09,4,0.47236080707213546,-0.26377365402201136,1.2084952681662822
0.09,5,0.2669409080882801,-0.44531044884606785,0.979192265022628
0.09,6,-0.24666749155274204,-1.031995024623058,0.5386600415175741
0.09,7,-0.6773615778273339,-1.4125389828607733,0.05781582720610545
0.09,8,0.0017778460990527378,-0.775700969563777,0.7792566617618825
0.09,9,0.609357856914194,-0.1216988508611202,1.340414564689508
