delta,iter,V_PPI,lower_bound,upper_bound
0.0,0,30.936309831228716,-1.6515350174040968,45.90534879454658
0.0,1,30.8460740057483,-2.291545012806388,45.11882676758912
0.0,2,30.19746437932517,-3.247832861885769,44.81553212071921
0.0,3,30.63512021167928,-1.5628015412504084,44.66681653125936
0.0,4,30.75503120759186,-1.8435863461190785,44.399907687694395
0.0,5,30.418549670083117,-2.279269086020399,45.90005601773937
0.0,6,30.280181002180313,-3.141209531266952,44.61468322233412
0.0,7,30.58878094328096,-2.175733979814744,43.80940872800996
0.0,8,30.562605555307375,-2.844949071157469,45.08974331165503
0.0,9,30.41933997088146,-3.7328016001634623,44.96508486681652
0.01,0,32.953195576553775,1.0470275925449855,47.079084401016665
0.01,1,32.33548082213139,-0.4623554815795501,47.086482180163614
0.01,2,32.400671619437404,-0.31080756757431516,46.350864070914454
0.01,3,32.97388139142323,0.03265061749744547,47.40284886731434
0.01,4,32.23812166637489,-0.17845471912315958,46.732912697258676
0.01,5,32.007680736193876,-1.02330223499753,45.909592471728544
0.01,6,31.703978730571006,-1.1028449998977443,45.94219799174044
0.01,7,32.58113061199547,0.4105144620931256,45.59478341350914
0.01,8,31.986978631286636,-0.3771380374145359,46.97679720428468
0.01,9,32.67475810469398,0.09058299483069732,47.52382579268226
0.02,0,34.338745663297466,1.474743435514263,48.17272336257725
0.02,1,33.70568904344369,1.3630376762561909,47.23609313432504
0.02,2,34.033285425832204,1.6139090525411888,48.31682138316863
0.02,3,33.618177208160056,2.137409004424704,48.72736719534267
0.02,4,34.90770323338607,3.6509435898313853,47.87523634495834
0.02,5,34.6700919601293,1.2506965133519543,47.485360476669825
0.02,6,34.45728695586193,3.2088223715113458,47.51268112853039
0.02,7,33.872094944288676,-0.12977044267421434,47.2866295130753
0.02,8,34.66613740287113,3.526033109047887,47.23029774985599
0.02,9,34.42054429054874,2.5242811679901465,49.25019803047794
0.03,0,36.435135061107275,5.742826635203954,52.0749999826771
0.03,1,35.70460048036769,4.8369704754848755,51.66929259615138
0.03,2,36.1513035163105,5.7769882544696785,47.615843044203565
0.03,3,35.92226162354843,3.8695386926402264,49.188076404737394
0.03,4,35.8880315075773,6.452414060677889,51.335989500131014
0.03,5,35.625747813323734,2.0592347518002967,46.6101209059751
0.03,6,35.96311661080421,6.570290530481941,46.54123207406104
0.03,7,35.65017662659729,57.21190796509827,48.92744980469788
0.03,8,36.48905823359698,4.534805990554986,45.617084242202935
0.03,9,35.789798266153895,1.7610087458902228,49.002091891031824
0.04,0,37.887870370238495,3.610377847045136,51.127439080565644
0.04,1,36.99607307002252,4.285826030227597,45.68018466517633
0.04,2,37.208160644934026,7.865314728185979,45.587287193701115
0.04,3,36.73023698253257,4.376927351184911,46.460867857166356
0.04,4,36.85158317705218,9.34531181474749,50.116927796803154
0.04,5,37.00578275657272,8.458211574321744,45.805841121440885
0.04,6,37.140270722300855,7.734133255870191,51.648114693553296
0.04,7,36.66947110827306,7.592227303341417,45.189621292904405
0.04,8,37.84880079539029,8.445615904643219,46.32280840189664
0.04,9,37.44431730459514,6.95584722708049,54.76888509939494
0.05,0,37.996217386234484,15.474773065555773,44.311208860386095
0.05,1,37.93252770973784,5.67514245583159,47.29764478279692
0.05,2,38.79486766669435,11.042914541694351,54.92318073126955
0.05,3,38.09752751705851,9.861380590178626,50.8245430123588
0.05,4,37.850606989592926,11.62350470992984,47.58230788680972
0.05,5,38.38455335577301,15.66572324713043,45.541167659361875
0.05,6,37.59887881004989,4.806882807852624,46.66883463585555
0.05,7,37.817305362361026,10.117945468562198,48.62618521465595
0.05,8,38.544233295231095,12.60406491449379,48.443821880131
0.05,9,37.787867973076445,9.951957175957304,53.73320622228299
0.06,0,39.146265132091685,12.870210749767466,54.886676890514536
0.06,0,38.4995753707939,14.779465431218703,45.48487114334639
0.06,1,38.674839280178986,14.132927201321564,40.938156149914704
0.06,2,38.770005801690495,6.336976626885807,39.25367606617299
0.06,3,38.70677275801394,14.508841468341089,39.09867159867976
0.06,4,38.53528093509983,10.733874074748265,49.789747945597874
0.06,5,38.55642244243606,7.326316088676293,44.69598743343337
0.06,6,38.6437693110354,12.701172875488524,48.47963242443872
0.06,7,38.817706653495655,16.485519000907765,43.221748897453175
0.06,8,39.60616048063246,8.739795047893203,42.16891797269789
